Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,org.ahocorasick.interval.IntervalableComparatorBySizeTest,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,1.0,3.0,3.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,25,3,22,7,14,0,,,,14,17,5,12,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.trie.Emit,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,13.0,0.0,0.0,0.0,3.0,,19,5,14,6,4,0,,,,5,9,5,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,3,3,3,3,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.trie.EmitTest,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,17,3,14,9,6,0,,,,6,9,7,2,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.trie.FragmentToken,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,7.0,0.0,0.0,0.0,3.0,,16,3,13,6,3,0,,,,3,7,4,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,3,3,3,3,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.trie.MatchToken,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,7.0,0.0,0.0,0.0,3.0,,20,5,15,7,4,0,,,,5,9,5,4,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,33.0,33.0,0.0,3,3,3,3,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.trie.State,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,14.0,5.0,14.0,14.0,0.0,1.0,0.0,13.0,,113,20,64,22,28,29,,,,26,46,23,23,,,,,,2.0,2.0,4.0,1.0,,1.0,1,,81.0,70.0,0.45,20,20,22,14,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.trie.StateTest,1.0,1.0,1.0,1.0,13.0,0.0,13.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,18,2,16,5,11,0,,,,8,10,4,6,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Abstract Class,org.ahocorasick.trie.Token,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,,0.0,0.0,,,,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,,17,6,11,6,2,0,,,,5,8,6,2,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.trie.Trie,2.0,2.0,2.0,1.0,9.0,0.0,8.0,0.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,15.0,3.0,15.0,15.0,0.0,7.0,0.0,8.0,,177,32,138,37,83,7,,,,62,106,44,62,,,,,,5.0,5.0,7.0,3.0,,1.0,3,,75.0,60.0,0.05,36,36,41,17,7431c74a7f4dd177cdf22090391084f4337da096,0
Public Class,org.ahocorasick.trie.TrieConfig,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,6.0,3.0,6.0,6.0,0.0,0.0,0.0,6.0,,32,9,23,10,9,0,,,,9,16,10,6,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,66.0,66.0,0.0,6,6,6,6,7431c74a7f4dd177cdf22090391084f4337da096,0
