Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Public Class,org.iq80.cli.command.CommandMain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,22,0,5,3,1,17,,,,1,2,2,0,,,,,,0.0,0.0,0.0,0.0,,1.0,0,,0.0,0.0,3.4,0,0,0,0,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.command.CommandTest,1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,63,5,41,15,26,17,,,,18,22,10,12,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.41,3,3,3,3,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.model.ArgumentsMetadata,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,9.0,5.0,9.0,9.0,0.0,0.0,0.0,9.0,,66,9,57,17,21,0,,,,26,36,16,20,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,62.0,62.0,0.0,9,9,9,9,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.model.CommandGroupMetadata,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,7.0,5.0,7.0,7.0,0.0,0.0,0.0,7.0,,56,7,49,15,19,0,,,,24,32,14,18,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,57.0,57.0,0.0,7,7,7,7,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.model.CommandMetadata,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,10.0,7.0,10.0,10.0,0.0,0.0,0.0,10.0,,83,11,72,25,26,0,,,,33,44,19,25,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,65.0,65.0,0.0,10,10,10,10,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.model.GlobalMetadata,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,8.0,6.0,8.0,8.0,0.0,0.0,0.0,8.0,,69,8,61,22,22,0,,,,28,37,16,21,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,62.0,62.0,0.0,8,8,8,8,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.model.MetadataLoader,3.0,3.0,3.0,1.0,19.0,1.0,18.0,0.0,1.0,10.0,10.0,0.0,,10.0,0.0,,,,0.0,0.0,10.0,10.0,0.0,5.0,0.0,5.0,,210,24,186,49,114,0,,,,80,125,58,67,,,,,,8.0,8.0,11.0,1.0,,1.0,5,,0.0,0.0,0.0,34,34,38,10,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Anonymous Class,org.iq80.cli.model.MetadataLoader.loadCommands.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,2,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Anonymous Class,org.iq80.cli.model.MetadataLoader.mergeOptionSet.(Anon_2),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,3,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.model.OptionMetadata,1.0,1.0,2.0,1.0,9.0,0.0,8.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,15.0,8.0,15.0,15.0,0.0,0.0,0.0,15.0,,166,23,143,32,74,0,,,,71,98,30,68,,,,,,11.0,11.0,12.0,10.0,,1.0,1,,60.0,60.0,0.0,29,29,30,24,76f247b3ff44dd9f3ebb34acf637b19c32ee26df,0
Public Class,org.iq80.cli.Accessor,3.0,3.0,3.0,2.0,15.0,1.0,13.0,0.0,1.0,2.0,2.0,0.0,,5.0,0.0,,,,10.0,4.0,15.0,15.0,0.0,5.0,0.0,10.0,,258,38,215,43,115,5,,,,82,135,44,91,,,,,,12.0,12.0,12.0,7.0,,1.0,6,,78.0,78.0,0.02,49,49,52,30,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Public Generic Class,org.iq80.cli.CommandGroupParser,2.0,2.0,2.0,1.0,11.0,0.0,10.0,0.0,1.0,7.0,7.0,0.0,,2.0,0.0,,,,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,,87,8,58,15,28,21,,,,24,36,16,20,,,,,,4.0,4.0,4.0,1.0,,1.0,2,,60.0,19.0,0.36,10,10,10,5,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Public Generic Class,org.iq80.cli.CommandParser,2.0,2.0,2.0,1.0,11.0,0.0,9.0,0.0,1.0,10.0,10.0,0.0,,4.0,0.0,,,,4.0,3.0,8.0,8.0,0.0,0.0,0.0,8.0,,123,15,84,27,34,24,,,,26,51,23,28,,,,,,7.0,7.0,8.0,1.0,,1.0,3,,70.0,20.0,0.29,19,19,23,8,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
Public Class,org.iq80.cli.GalaxyCommandLineParser,1.0,1.0,1.0,1.0,21.0,1.0,20.0,0.0,1.0,17.0,17.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,,421,54,367,155,180,1,,,,175,212,89,123,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,3,3,3,3,c19bbb1e5521e3d39c68dd42853c02cd01bc4d4f,1
